,road_name
0,Avacado Road
1,Bangor Park Road
2,Century Court
3,Damron Road
4,Darby Road
5,Delano Road
6,Demetri Place
7,Eden Lane
8,Gipson Lane
9,Gloria Lane
10,Go Street
11,Gold Mountain Road
12,Gold Pan Court
13,Golden Arrow Lane
14,Grimy Gulch Road
15,Hobble Bush Lane
16,Kimmie Lane
17,la Porte Road
18,Lague Road
19,Lefevre Lane
20,Los Verjeles Road
21,Lupine Meadow Road
22,Lupine Meadows Road
23,Marie Lane
24,Martin Road
25,Mellow Meadows
26,Milligan Lane
27,Natchez Creek Road
28,Obert Drive
29,Paul Place
30,Pleasant Grove Lane
31,Ponderosa Way
32,Reed Lane
33,Robinson Mill Road
34,Rolling Oaks Lane
35,Schneiter Lane
36,Silva Path
37,Stoney Oak Loop
38,Stoney Oaks Boulevard
39,Stoney Oaks Loop
40,Sunnyhill Road
41,Sunrise Hill Road
42,Swedes Flat Road
43,Tom Mood Way
44,Upham Road
45,Vierra Road
46,Ware Lane
47,Wayne Clem Way
48,Alicia Lane
49,Apple Hill Circle
50,Azalea Lane
51,Bald Rock Road
52,Bay Ranch Road
53,Bean Creek Road
54,Bear Cub Circle
55,Bell Ranch Road
56,Berry Creek Road
57,Berryessa Lane
58,Big Oak Lane
59,Big Ridge Road
60,Black Bear Road
61,Bloomer Hill Road
62,Bonnie Meadow Lane
63,Braland Place
64,Breckenridge Court
65,Bromilow Lane
66,Buchner Drive
67,Buckboard Way
68,Canyon Creek Road
69,Cascade Trail
70,Catalpa Lane
71,Cedar Lane
72,Cedar Path
73,Centurion Way
74,Cheyenne Circle
75,Chipmunk Court
76,Choctaw Lane
77,Choctaw Ridge Road
78,Coffey Lane
79,Coyote Road
80,Deer Meadow Road
81,Deer Run Lane
82,Deer Springs Lane
83,Dryad Walk
84,Edan Canyon Road
85,Eden Canyon Road
86,Emerald Oak Road
87,Encina Grande Road
88,Enumclaw Road
89,Ermarie Lane
90,Ernie Lane
91,Fair Weather Court
92,Feather Ridge Way
93,Fir Path
94,Fir Way
95,Foreman Creek Road
96,Forest Inn Drive
97,Four M Court
98,Fox Hill Road
99,French Creek Road
100,Galen Ridge Road
101,Gamble Road
102,George Cameron Drive
103,Graystone Lane
104,Green Cedar Way
105,Greystone Lane
106,Gruber Lane
107,Hammer Lane
108,Handkirk Lane
109,Harrison Springs Road
110,He Le Ve Road
111,Hidden Springs Road
112,Horseshoe Trail
113,Huffright Lane
