,transcripts,confidence
0,staff issues,0.3604743480682373
1,traffic between the loose all the way down to the local hardware,0.8262686133384705
2,Skyway set,0.6648571491241455
3,we've got that right now hopefully I can you know show Springs of the priority Shadow tree and Whispering line crashing Whispering Winds,0.8565226197242737
4,but although it is still some Cannon fires on both sides of the road he got one residents with two people that are staying I feel like they're safe they're we're moving back to the West getting to the first house that is on the pavement and I'm going to assess that truck is red I could use a five engines when you get them,0.8869556188583374
5,T right now we're Skyway West of you is impacted so then both of those Lanes Northbound verse 2 we get some flow,0.7925000786781311
6,Echo tax wealth,0.5002347230911255
7,Tres Hombres road which is backing up early more down towards release Shopping Center,0.8407540917396545
8,Tina finding one third time for me CHP is not calling in the tub,0.7993555665016174
9,people from going eastbound on Raley Boulevard just on the turnaround they're creating problems on British roads upload traffic when they get,0.848585844039917
10,Meyers running meditation on Skyway below the Ramadan Club advisor yeah they just heard of Clark Kent's to Way South down so we don't have a,0.8440711498260498
11,what major injury in law has already been notified common teabach sedation carry a no across one,0.7672119736671448
12,so we did Zachary from Remington to Belgium and that cult effect of Belgium you want to set up to Canyon Oaks from,0.8540093302726746
13,we need a more on the wrong ways I drank a circle there was a vehicle,0.8362806439399719
14,Alice change to all southbound traffic always all the way to Highway 32 from your location it was your cones in your,0.8634040951728821
15,good definitely in the church parking lot people drinking playing requesting PD an extractor before it gets worse,0.8359400033950806
16,are you done with your summit who vehicle,0.8509100675582886
17,Drake,0.45338818430900574
18,the end of 20th near John Crest right there so far I've only just to pay for necessary evacuation Zone a so far I've already started on Wakefield all of us to some other places as well show me one of six hour,0.8938740491867065
19,swan,0.37033578753471375
20,matter of advised I do not have any other units five deck but I we have both Eastbound and Westbound lanes are blocked here about the vehicles on you definitely see reasons for,0.8489163517951965
21,request for a slice you see Sierra they've restarted their info Exchange,0.7294631600379944
22,Coffey we've got a task force 40s for 7:08 and Strike Team 9 3 3 1 Alpha that should be here momentarily soon as I get here up we're going to plug them in,0.8599194288253784
23,Stoney,0.6558701992034912
24,this is not an injury however we will need CDs or traffic control folks vehicles are not movable right the intersection of first enough when I say,0.8889904618263245
25,we got fired already around one house at the end of still security and we're going to make sure that out up there you got three houses immediately threat you got about 15 minutes until the next one this adds up,0.8513330221176147
26,all these cars here trying to get over to the courthouse area P XX eat the fruit but it's all blocked off so I have to let him through,0.8884851336479187
27,going into 21 engine to division to be Medics work vehicle viral area of Cedar and AIDS report of a vehicle fully engulfed an oo 1520,0.7478474974632263
28,flying everywhere,0.5081409811973572
29,and for that I'm going to send it just by this and they'll go to the west and start the evacuation from their back into forgot is that switch the other,0.8427138328552246
30,nice,0.49655184149742126
31,three eight one nine Broken Glass Circle in concow the Ridge Road,0.7687584161758423
32,Scott,0.5368593335151672
33,Olive house doesn't evoke drive down the corner of brood 232 the North or see the job,0.8230262994766235
34,certify that run up to the back side of herself,0.7287957668304443
35,Cajun 504 says what you got over there and if you feel like you need to say say that you can break away I'll just be able to use your help down here because the fires already in and around houses down here,0.8822192549705505
36,and just for third division to looks like we're going to be switching over to yeah pack 27 in year 10 with mobile is group 3 Channel,0.8581017851829529
37,right now Clark is southbound one lane for the most part so if you need to head down south up and down will use that,0.8760166764259338
38,fir,0.6185275912284851
39,treasure,0.6047724485397339
40,Rockin and from Sirius XM advising a distress signal from us to Peru at the 2018 model unknown color 8 Frank Henry Union 70 0 and the area,0.8282948732376099
41,Kobe when X is equal to C vehicle versus motorcycle and from the rice ball on the Assassin 2004 S18 to go 550 times I've come in 1183 and Fry the rice ball tornado for us honey,0.8269592523574829
42,and asked where we gonna meet them coming through all these cars I now control their that let you through,0.7544754147529602
43,14 60 grams and after I started with a couple of buses to evacuate as a home we've got traffic flowing Southbound on Clark in both lanes if you contact somebody to let them know that this is our only Ingress and I have traveled almost like,0.8642244935035706
44,Daisy Doo is your forward and its forces 20th what's your location take a barn before,0.6526484489440918
45,you just just to us flows both Jac flame jacket Banner peak season for is working with division to Hughes One-Stop stilson Canyon,0.8405895829200745
46,brereton we already tied in with Chief wanted division 2 and we're going all the way up to the end of stilson Canyon we're going to ensure evacuation to started or get accountability and we're going to work our way back out,0.8623826503753662
47,his quick update it fires his back and down a small Ridge into a drainage with water in it fires not going to cross the water course I only potential for fire spread on this side it creates going to be inverse gas which we get a little bit of just an,0.8848889470100403
48,some good traffic is become manageable 32 Bruce's we get CHP units but the flight back in functioning order we're going to clear the unit,0.8786313533782959
49,40th bruised to prevent salsa or yeah Southbound on Bruce traffic open this up so people can get over to doe Mill because they're killing it here,0.8698298335075378
50,negative R all the way he stood all the way to the end fires on both sides of the road up here so yeah we're going to be the for a while till someone gets some other issues getting here,0.8839688897132874
51,it's in a bind for running to move the road closure down to the forest and vanilla the forest and vanilla remaining units at Dom,0.8747002482414246
52,Anna faris's 447 work they requesting Peter Cetera traffic control for that large vehicle fire,0.8600339293479919
53,never been 46 or sister 37 3 in both Whispering Winds have spent hours,0.8006711602210999
54,looks like I subject plus head back down the hill or used to address up here,0.8091281652450562
55,thank you our belts native traffic make sure this,0.8472995758056641
56,Travis 2112,0.6798462867736816
57,hey I told you I was going to try to go check on his place and then we got read inverted if you put eyes on his house just so I can let him know everything looks good or can you time with him one of the two,0.8970290422439575
58,I'm gonna try anyway where there's a seat all the way back to the right,0.844853937625885
59,crown for the Museo see ya richer from 99 and 149 your Lancer,0.7819822430610657
60,the winter term version of four lanes of southbound and 19 ones making that happen on this Earth,0.8227109909057617
61,traffic collision as 184 7 and timeout 21 2422 running of also 1182 the known as language first,0.7782778739929199
62,for us to not address the vehicles one vehicle is blocking the road will be the tail,0.8152864575386047
63,two and then when I put a vegetation fire 200 yards from the and ID's 20th Street at 99 Garden Valley Terrace timeout at 2010,0.870371401309967
64,kayaking you just Dreadful Highway 99 South of stage Drive is closed their turnaround traffic northbound,0.8407757878303528
65,and let me get a sense of where this fire is coming we got it approach into the east or to the west but it's quite a ways off,0.8465686440467834
66,Praxis Medical,0.6107673645019531
67,Warner upper this is not the first consider multiple run Travis and get out that your branch resist both brandamore,0.8014432191848755
68, outside of time,0.816780686378479
69,I got about four five,0.7474069595336914
70,division 2 advisement report of vegetation seen 200 yards from the end of East 20th Street 1989 poppy Pete Harris,0.8546432256698608
71, I have a person here with Northern Valley disabled services that needs to get Tomorrowland,0.8376148343086243
72,condor in one report of a fire alarm sounding it's Casa De Flores mobile home park 701 he's lasen Avenue spaces 140 142,0.8464107513427734
73,so the water can is leaking water to the facts,0.8412535786628723
74,Notre Dame stop it we're going to go ahead and do a mandatory evacuation for the southern part and the berry,0.8023393154144287
75,Emma,0.38186851143836975
76,I've got three free sources of the mice,0.7116437554359436
77,we have a,0.689933717250824
78,1st question public works as a street sweeper help us clean up this message goes across two lanes and about 50 feet deep,0.8339352607727051
79,entrance clear showing up there not but she doesn't 15 to in every game Martinez on Arcadia nominating us,0.8520693182945251
80,Seven Springs are going to see if achilleas,0.6940487027168274
81,I got the Bruce Lane Bruce road going that way but I'm talking about Sky way towards 99 between Bruce and no hurry,0.856711208820343
82,good the bear is going to be the options offered Shallow Springs first of corridor Whispering Wind and Shadow,0.8668003678321838
83,front of the fire alarm sounding 701 he's lasen Avenue at causes the floor for whole park space will be 142 people buyers ears,0.8352576494216919
84,Bonnie too,0.6064003705978394
85,forty students white pickup truck some are trying to get over to e 40th is the line area but it's all blocked off,0.8336480259895325
86,Skyway device we have fun,0.7116376757621765
87,103 7 if we can divert more on to north of Bruce from your location and be up here right now,0.8466659784317017
