,transcripts,confidence
0,Stetson,0.542913019657135
1,Isabelle never to mobile crisis or crisis in Generations,0.741056501865387
2,66 is on it,0.770346462726593
3,silver foxes,0.4447453022003174
4,Pratt for theis wonderful,0.7443944811820984
5,truck something for 6 and 12,0.6856609582901001
6,Tom please,0.4386288523674011
7,looks like they're responding only,0.7593458294868469
8,Airport,0.35841548442840576
9,Glory,0.44700589776039124
10,Stoney first this first session this is cooperative he come back,0.5543552041053772
11,royal succession available sisters respond there,0.8139849901199341
12,Kevin,0.3918958008289337
13,everyone dresses,0.5698673725128174
14,fire isn't Susan,0.8211054801940918
15,five horse I was 42,0.7547540664672852
16,this version of the Boeing also she's suicidal,0.661511242389679
17,table salt,0.6322680711746216
18,Hearst,0.38630542159080505
19,seven,0.5756835341453552
20,badger,0.5360196232795715
21,21,0.7214756011962891
22,Toni doing 33 there be reviewed Facebook message from a friend saying that she was 261 by two men,0.7954900860786438
23,four number used,0.5296672582626343
24,creative force of thrust,0.7826105952262878
25,Victor,0.3616393804550171
26,535 a mangrove,0.6748186945915222
27,21:21 6/8 alright 21,0.7141196131706238
28, and terminated I'll be at 22 23,0.8499269485473633
29,allocating resources to request,0.8362167477607727
30,Hunter,0.35331884026527405
31,doe 1448 man,0.7419347763061523
32,okay,0.6283369660377502
33,your very best when we try making that call in now we're set,0.8023127317428589
34,freedom,0.3630724847316742
35,Cummings,0.46675029397010803
36,because 487 go ahead,0.7372139096260071
37,thanks Express every weekend 14 Connor visit,0.7871365547180176
38,Prairie,0.4144834578037262
39,copper,0.5913515090942383
40,portal fix Alibis we have the our way blocked back to structure,0.7867366075515747
41,fair amount of Climbers on 50ml 1488 vallombrosa,0.8115655183792114
42,Westbrook Junior,0.7426949143409729
43,for every second for the retirement home building receive accurate,0.7994303107261658
44, available there are three,0.79608553647995
45,4 109,0.6313057541847229
46,refreshingly stress response will be k v John Carter and a black Ford F-150,0.8449223041534424
47,like version 35,0.6722019910812378
48,four property of light jacket maybe 40 years,0.693477213382721
49,division after division alpha bravo with the business,0.7927431464195251
50,25:12 you want me to the Meijer in there,0.7341100573539734
51,seven seven seven,0.7833188772201538
52,can you find a section,0.6937090754508972
53,Navarro,0.37226948142051697
54,Kelly has 13 10 and back,0.5982890725135803
55,process,0.4574713408946991
56,contact with the,0.8655880093574524
57,we contacted the residents and the 2:02 apartment 7 there's no medical needs it is called,0.8453525900840759
58,Cypress is an adjuster,0.6129133701324463
59,fir volume sort Nal 21 with,0.5463917851448059
60,Digger 42 look like fire prevention is that here as well,0.764950156211853
61,1st,0.4799681007862091
62,Marlin 972 responding,0.6186777949333191
63,Kokanee drive or 97 it's a large building with a bunch of sweets did it give a free number at all,0.825676441192627
64,Nice Kicks Charlie is not rough,0.7250397801399231
65,and today I got a picture of my car him and that's a positive match,0.8179009556770325
66,treasure spelling Christina,0.655769407749176
67,Fargo fire Orville Medics Medical Aid wasted Garden Apartment 700 Mitchell Avenue Apartment 6,0.7968344688415527
68,Pacheco fiery coffee traffic,0.7296203970909119
69,which direction,0.7624540328979492
70,heavenly,0.5332671999931335
71,Scott,0.3966040313243866
72,four,0.44265881180763245
73,call to the Command Center Dispatch when they decide their course,0.7985925078392029
74,Furniture was 96,0.6585089564323425
75,for that one,0.6645777225494385
76,four point two seconds going to be left of price first the mail,0.7592223286628723
77,adjectives to go back,0.8334844708442688
78,different,0.5920066833496094
79,Cypress,0.5980732440948486
80,section 67 AT&T Communications has been advised of however they have no ETA,0.8475303649902344
81,coming in our salon South Morningside,0.6821691393852234
82,possum,0.45244300365448
83,dude imagine for is available for Miss about jacket Badr and 20th will handle as well as you want,0.8156542181968689
84,never,0.4967597424983978
85,sale 1934 you Clifford,0.7059071063995361
86,never,0.6080185770988464
87,Transformer that's bromilow,0.8656234741210938
88,severns,0.7093737721443176
89,address,0.5809919834136963
90,Citadel,0.5650841593742371
91,Berry bad for 7 for 15 family and Harry early very,0.7168133854866028
92,Jeannie more units for you,0.7241923213005066
93, special instructions not to be here before 1800,0.8252550959587097
94,Moore 17 minutes she's after the person that doesn't have permission to be there and wants to talk to you,0.8376420140266418
95,Al fire orbital,0.638992190361023
96,copy people that formula click through the cold,0.8049359321594238
97,Pheasant Point no hazards just giving you an update,0.7990129590034485
98,Fremont working for you,0.6746376156806946
99,absolutely,0.7518041729927063
100,Hart of my sisters,0.6271108984947205
101,this is Juliette French Park,0.7032965421676636
102,if I can prevent forest neutral hegan hybrid,0.6523802280426025
103,everyone possesses Andre fall one for five Sequoyah Avenue crossbow,0.7623040676116943
104,Lucy,0.44093918800354004
105,Santana,0.5058671832084656
106,Santa Santa Monica fire,0.43003061413764954
107,Pratt,0.3565696179866791
108,Baggett,0.47373202443122864
109,efforts that we're going we're looking at Barrett-Jackson lineup Grass Valley to the plunder of side copy 50 all the results,0.8376345634460449
110,copy engine whining sister calfire for structure fire 62 Plymouth Avenue timeout 1924,0.8468466401100159
111,perfect,0.5593815445899963
112,Waterford patrols neighborhood,0.679216742515564
113,probably 659 Pannikin popular,0.6711671948432922
114,this one's ours,0.5728549957275391
115,tree of each other can I give you grandma's name it we can do a reverse for a Ford Explorer,0.7919379472732544
116,Covey 5/3 West Sixth Avenue,0.7254759669303894
117,you have the address of the 27 out of the 18 wheeler,0.7348182797431946
118,Isabelle lamps and it's coming up,0.6402583718299866
119,table is tilted Katie cross oval and round here are three,0.7143937349319458
120,Frances,0.4256947934627533
121,golf is a fairly you have a water tender that can respond to Billy and Laurel,0.8474265933036804
122,Kevin Durand fun accessories your appearance preordained,0.6564906239509583
123,Sky TV showing code for at Walmart on foot trying to assist with them,0.8050339818000793
124,silver,0.47782257199287415
125,377,0.6518332362174988
126,pick up the phone,0.8108475208282471
127,Coffey size estimate has a head of state pronounce,0.7780018448829651
128,c 1 or 5,0.5168983340263367
129,second one,0.7508547306060791
130,Cottage,0.38175225257873535
131,75 additionally Andrew Reynoso and Taylor more are clear,0.8336341977119446
132,last call there was in September for Prowler,0.7321420311927795
133,Colossus I give you a actually easy and give you this,0.8036119937896729
134,Top Cat the second part tonight,0.6441619396209717
135,badger,0.4367126524448395
136,having fun,0.46524864435195923
137,71 42 and it's called are vegan they should have admitted she stated she located at pizza box on the ground by his rig,0.8740711212158203
