,transcripts,confidence
0,the Walmart parking lot after cell phone 5 meters,0.754055380821228
1,cussick a Vista Drive,0.7014294266700745
2,staff are running equal time and I 30 miles 3:06 17,0.7164410352706909
3,I'll be out with him it's quarter after,0.7833440899848938
4,level 3 site number is going to be 205 0 and then cite the it is 118 of 2019 8,0.8436616659164429
5,Billie answer,0.5456040501594543
6,Lester,0.44607099890708923
7,okay but hang out Marian from what when given the rest find it,0.843352198600769
8,seven wave right on big Street,0.5870928168296814
9,notify to call out there,0.6507804989814758
10,Bond a Walmart 465 callous Road loss prevention contacted they have a juvenile with no idea in Cooperative in custody for,0.7915520668029785
11,sutters their doors open that they can recommend a sizable not realistic,0.8034159541130066
12,Pepe,0.41959118843078613
13,Camellia,0.6444732546806335
14,a 25-year be said there was a truck near it but there was no witness to a collision or anything so I don't know the way it's broken,0.8699743747711182
15,Connie cause charter school one for five nights Downer Street we're going motion called settings,0.7537268400192261
16,I spoke with a glass of Davis first of Mel he's one of about 10 horror seen exiting the garage is here and they have full hookups and stuff inside everybody in there he stages,0.8672224283218384
17,Wilcox,0.6009140014648438
18,okay,0.6073612570762634
19,three has one 10 15 and 11 are out back to the property,0.7707921266555786
20,so forth,0.7846300005912781
21,tree Creek Street,0.5420738458633423
22,Meadow,0.35432466864585876
23,Holly I have a partial VIN number,0.8292511701583862
24,Hart Express ordering over 800 or Acura with the clicker asshole,0.7672854661941528
25,driver in a white car,0.5472024083137512
26,earlier peanut contacts with other than Africa,0.8462123870849609
27,Ernie,0.5314984917640686
28,can you run the loader off at the corner or down in Lincoln front a Popeye's holding up,0.8043586015701294
29,three or medical records to bottom is Sacra,0.7403968572616577
30,Patsy in an intersection to everything,0.7728477120399475
31,sage in this document looks like that son gates for the residence has been forced open its long driver,0.8161253929138184
32,Pole,0.36633411049842834
33,after 28 of seven and John I don't know 194 contractor 2012 Acura to a camera equipment,0.8544874787330627
34,path,0.5840806365013123
35,they're both men's those 1 / 3 77 for 64 and one MTA the others could be pertinent 51 they slice it in the middle and citable got the after,0.8559573292732239
36,450,0.7435591816902161
37,e 29 Emilio science please let's add a location he's walking down the street is out of control,0.8095032572746277
38,you got to be ready for 15 physical however no parties are willing to cooperate or wishing few churches and looks like nearly assigned is going to be transported OMC to look at his laceration,0.8763203024864197
39,Allie,0.6426175236701965
40, computer,0.5624457001686096
41,around the back pretty good picking up the windows,0.8306829333305359
42,perfect,0.5589762330055237
43,1098 unable to determine it down aggressor neither party at injuries or worse for Superman complaint break,0.8420629501342773
44,a couple RP 3.86 47s subjects in the only way Feather River Montgomery never Taqueria,0.8131020665168762
45,portal 1727 for the call-boy nine seven three nine zero seven four obviously need everything's coach,0.8191008567810059
46,walked out the bay doors after talking about want to get hit by a train because we're number roads whether it's Arts fans they don't know if she had a people are not going to understand,0.8526405692100525
47,Authority,0.45654478669166565
48,they sing copies of busy units it's not until 98 will refer to accuse me get out of the bamboo have the tracker coming too,0.794910192489624
49,going to be at the residence that has permission to be there to look at this trespassing,0.8791217803955078
50,document that the subjects inside the bamboo that we contact frequently after the painting clothes and other items for fire victims from Paradise and Walmart,0.8239335417747498
51,k v the area of Cal of Road and 7th Avenue losser Benton from Walmart call the WFAA and a camouflage shirt and jeans last seen headed Northbound on 7 ran out with merchandise,0.864104151725769
52,McConnell have a flatbed available till after one will be back to fill the truck will be out dealing with some illegal camping issues as well,0.8706578612327576
53,but if you take some specialized equipment been over drunk ass and boobs and the bamboo fall I will be back in the am available,0.8406566381454468
54,Parker in contact with weight loss and getting longer and cold early,0.7929255366325378
55,perfect,0.6340968012809753
56,a couple days inside the house but nobody's coming to the store according to their records there may be three children inside walkers on the phone there are no adults on scene but she believes the mother may have possibly been arriving on scene still requesting law enforcement there maybe the payment,0.8621428608894348
57,and a clown and a blue hoodie with no shoes walking to the field across Table Mountain on its own was last seen running into the apartment complex on the West End there was no adult,0.8608965873718262
58,Clara area,0.6547330617904663
59,Harvey is a manager her employees called her the business has been closed for an hour they went in to clean the mill the men's bathroom and there's a male subject passed out and,0.8506418466567993
60,Pratt,0.3684808313846588
61,perfect,0.6997314095497131
62,everything that's the vehicle associated with email contact clearing fired am 1893,0.8369613289833069
63,quiet very sensitive good Club 37 admirer piece of art enter the simulator imitated the 49ers PD and a 10-car dragon inside screaming at staff and customers credit car buyers in front of the business,0.8573081493377686
64,four threes,0.4616941809654236
65,Foreman owners got insurance through Allstate it's going to be a four-door silver colored Chevy Cruze since the front end damage they can move,0.8592886328697205
66,parks,0.4696880578994751
67,1 2 3 mu t l Phi notifies National Guard at the animal post south of your locations empathy by the behavioral health the costly,0.8420490622520447
68, Olive Pharmacy building for a white baseball cap black hoodie and blue jeans your stream Oroville hospital ER gaming and sixty six monthly under the influence,0.8394796252250671
69,folder,0.6507101655006409
70,6th at 1 2 5 0 Montgomery Street the neighbor sisters a broker with all the second for this residence is concern that someone made a trace neighbors who were there are out of town,0.8598297238349915
71,reservoir for them where they can already Property Management learning evaluation from Paradise,0.6535868048667908
