,Unnamed: 0,transcripts,confidence,location_extraction
0,0,Stetson,0.542913019657135,Stetson Court
4,4,Pratt for theis wonderful,0.7443944811820984,"Pratt Avenue , Theis Lane"
8,8,Airport,0.35841548442840576,Airport Road
9,9,Glory,0.4470058977603912,Glory Road
11,11,royal succession available sisters respond there,0.8139849901199341,Royal Court
12,12,Kevin,0.3918958008289337,Kevin Court
16,16,this version of the Boeing also she's suicidal,0.661511242389679,Boeing Avenue
18,18,Hearst,0.38630542159080505,Hearst Avenue
22,22,Toni doing 33 there be reviewed Facebook message from a friend saying that she was 261 by two men,0.7954900860786438,"Toni Drive , A Street"
24,24,creative force of thrust,0.7826105952262878,Creative Lane
25,25,Victor,0.3616393804550171,Victor Drive
26,26,535 a mangrove,0.6748186945915222,"A Street , Mangrove Avenue"
29,29,allocating resources to request,0.8362167477607727,Resources Lane
30,30,Hunter,0.35331884026527405,Hunter Lane
31,31,doe 1448 man,0.7419347763061523,Doe Lane
34,34,freedom,0.3630724847316742,Freedom Court
35,35,Cummings,0.466750293970108,Cummings Road
36,36,because 487 go ahead,0.7372139096260071,Go Street
38,38,Prairie,0.4144834578037262,Prairie Drive
39,39,copper,0.5913515090942383,Copper Lane
40,40,portal fix Alibis we have the our way blocked back to structure,0.7867366075515747,"Portal Drive , Our Way , Our Way"
41,41,fair amount of Climbers on 50ml 1488 vallombrosa,0.8115655183792114,"Fair Street , Vallombrosa Way"
46,46,refreshingly stress response will be k v John Carter and a black Ford F-150,0.8449223041534424,"K V Lane , Carter Road , A Street , Ford Avenue"
49,49,division after division alpha bravo with the business,0.7927431464195251,"Bravo Way , Business Lane"
52,52,can you find a section,0.6937090754508972,A Street
53,53,Navarro,0.37226948142051697,Navarro Drive
54,54,Kelly has 13 10 and back,0.5982890725135803,Kelly Lane
57,57,we contacted the residents and the 2:02 apartment 7 there's no medical needs it is called,0.8453525900840759,No Way
58,58,Cypress is an adjuster,0.6129133701324463,Cypress Lane
59,59,fir volume sort Nal 21 with,0.5463917851448059,Fir Street
61,61,1st,0.4799681007862091,1st Avenue
62,62,Marlin 972 responding,0.6186777949333191,Marlin Court
63,63,Kokanee drive or 97 it's a large building with a bunch of sweets did it give a free number at all,0.8256764411926271,"Kokanee Drive , Kokanee Drive , A Street , A Street , A Street"
64,64,Nice Kicks Charlie is not rough,0.7250397801399231,Nice Place
65,65,and today I got a picture of my car him and that's a positive match,0.8179009556770325,"A Street , My Way , A Street"
66,66,treasure spelling Christina,0.655769407749176,Christina Drive
67,67,Fargo fire Orville Medics Medical Aid wasted Garden Apartment 700 Mitchell Avenue Apartment 6,0.7968344688415527,"Fargo Court , Garden Drive , Mitchell Avenue , Mitchell Avenue"
68,68,Pacheco fiery coffee traffic,0.7296203970909119,Pacheco Lane
69,69,which direction,0.7624540328979492,Which Way
70,70,heavenly,0.5332671999931335,Heavenly Place
71,71,Scott,0.3966040313243866,Scott Drive
73,73,call to the Command Center Dispatch when they decide their course,0.7985925078392029,Center Street
77,77,adjectives to go back,0.8334844708442688,Go Street
79,79,Cypress,0.5980732440948486,Cypress Lane
80,80,section 67 AT&T Communications has been advised of however they have no ETA,0.8475303649902344,No Way
81,81,coming in our salon South Morningside,0.6821691393852234,"Our Way , South Avenue , Morningside Drive"
82,82,possum,0.45244300365448,Possum Lane
