,transcripts,confidence
0,crawfish,0.6167765855789185
1,traffic between the loose all the way down to the local hardware,0.8283530473709106
2,the skyways at Twitter,0.6413227915763855
3,we've got that right now hopefully I can you know show Springs of the priority Shadow tree and Whispering line crashing Whispering Wind,0.8555815815925598
4,but although it is still some Cannon fires on both sides of the road he got one residents with two people that are staying I feel like they're safe they're we're moving back to the West getting to the first house that is on the pavement and I'm going to assess that truck is red I could use a five engines when you get them,0.8970711827278137
5,see right now we're Skyway Western View is impacted so then both of those Lanes northbound on Route 3 get some flow,0.7847158908843994
6,Sacco tax wealth,0.6020054817199707
7,but road which is backing up early more down towards release Shopping Center,0.8380624055862427
8,it's unified in one third time for me CHP is not calling in the tub,0.8185197114944458
9,people from going eastbound on Raley Boulevard just on the turnaround they're creating problems on British roads upload traffic when they get,0.8772172927856445
10,my hair thinning medication on Skyway below the Ramadan Club advisor yeah they just heard of Clark Kent's to Way South down so we don't have a,0.8786582946777344
11,what major injury in those already been notified commenting vaccination carry a no across one,0.8292429447174072
12,so we did Zachary from Remington to Belgium and that cult effect of Belgium you want to set up two communiques from,0.8923986554145813
13,we need a more on the wrong ways I drank a circle there was a vehicle,0.8362806439399719
14,- change to all southbound traffic always all the way to Highway 32 from your location it was your cones in your,0.8766115307807922
15,good definitely in the church parking lot people drinking playing requesting PD an extractor before it gets worse,0.8787146806716919
16,are you done with your summit who vehicle,0.8138415217399597
17,the end of 20th near John Crest right there so far I've only just to pay for necessary evacuation Zone a so far I've already started on Wakefield all of us to some other places as well show me one of six hour,0.8938740491867065
18,matter of advised I do not have any other units five deck but I we have both Eastbound and Westbound lanes are blocked here about the vehicles on you definitely see reasons for,0.8489521741867065
19,request for a slice you see Sierra they've restarted their info Exchange,0.7365702986717224
20,copy we've got a task force 40s for 7:08 and Strike Team 9 3 3 1 Alpha that should be here momentarily soon as I get here up we're going to plug them in,0.8664266467094421
21,this is not an injury however we will need CDs or traffic control folks vehicles are not movable right the intersection of first enough when I say,0.8889904618263245
22,do we got fired already around one house at the end of still security and we're going to make sure that out up there you got three houses immediately threat you got about 15 minutes until the next one this adds up,0.8925655484199524
23,all these cars here trying to get over to the courthouse area P XX eat the fruit but it's all blocked off so I have to let him through,0.8887116312980652
24,going into 21 engine to division to be Medics work vehicle viral area of Cedar and AIDS report of a vehicle fully engulfed an oo 1520,0.7579060792922974
25,like everywhere,0.6866006255149841
26,and for that I'm going to send it just by this and they'll go to the west and start the evacuation from their back into forgot is that switch the other,0.8455514907836914
27,3 8 1 9 Broken Glass Circle in conk out the Ridge Road,0.7631727457046509
28,stop,0.5105887055397034
29,it's all this house doesn't evoke drive down the corner of brood 232 the North or see the job,0.8506232500076294
30,certify that run up to the back side of herself,0.7300300002098083
31,age of 5 into 4 says what you got over there and if you feel like you need to say say that you can break away I'll just be able to use your help down here because the fires already in and around houses down here,0.890472948551178
32,and just for third division to looks like we're going to be switching over to yeah pack 27 in year 10 with mobile is group 3 Channel,0.8580897450447083
33,right now Clark is southbound one lane for the most part so if you need to head down south up and down will use that,0.8758742213249207
34,talking and from Sirius XM advising a distress signal from us to Peru is a 2018 model unknown color eight Frank Hammer Union 70 0 and the area,0.836050808429718
35,interviewer next speaker OTC vehicle versus motorcycle and from the rice ball on the Assassin 2004's 2205 the few times I've come in 1183 and Fry the rice ball tornado for us honey,0.8902488350868225
36,and ask where we going to meet him coming through all these cars I now control their that let you through,0.8403040170669556
37,50 60 grams and after I started with a couple of buses to evacuate as a home we've got traffic flowing Southbound on Clark in both lanes if you contact somebody to let them know that this is our only Ingress and I have traveled almost like,0.8753175139427185
38,to do is your forward and its forces 20th what's your location take a barn before,0.7599531412124634
39,you just just to us flows both Jack flame jacket Banner peak season for is working with division to Hughes One-Stop stilted Canyon,0.8383998870849609
40,there are forever that we already tied in with Chief wanted division 2 and we're going all the way up to the end of Stillson Canyon we're going to ensure evacuation to started or get accountability and we're going to work our way back out,0.8784040212631226
41,his quick update it fires his back and down a small Ridge into a drainage with water in it fires not going to cross the water course I only potential for fire spread on this side it creates going to be inverse gas which we get a little bit of just an,0.8848888278007507
42,some good traffic is become manageable 32 Bruce's we get CHP units but the flight back in functioning order we're going to clear the unit,0.8527445197105408
43,40th bruised to prevent salsa or yeah Southbound on Bruce traffic open this up so people can get over to Dill Mill because they're killing it here,0.8540406823158264
44,negative R all the way he stood all the way to the end fires on both sides of the road up here so yeah we're going to be the for a while till someone gets some other issues getting here,0.8907897472381592
45,it's in a bind for running to move the road closure down to the forest and vanilla the forest and vanilla remaining units at Dom,0.8745021820068359
46,Anna faris's 447 work they requesting Peter Cetera traffic control for that large vehicle fire,0.8662619590759277
47,there will be 46 her sister 37 3 in both Whispering Winters have spent hours,0.7906935214996338
48,looks like I subject plus head back down the hill or used to address up here,0.8091282844543457
49,thank you our belts native traffic make sure this,0.8472996354103088
50,science 2112,0.7302291393280029
51,hey I told you I was going to try to go check on his place and then we got read inverted if you put eyes on his house just so I can let him know everything looks good or can you time with him one of the two,0.8933843970298767
52,I'm gonna run away where there's a seat all the way back to the right,0.7851831912994385
53,transform you co see ya richer from 99 and 149 your last person,0.6730298399925232
54,the winter term version of four lanes of southbound and 19 ones making that happen on this Earth,0.8228200078010559
55,traffic collision as 184 7 and timeout 21 2422 running of also 1182 the known as language first,0.7657244801521301
56,for us to not address two vehicles one vehicle is blocking the road will be the tail,0.8297644257545471
57,there's 200 yards from the and ID's 20th Street at Garden Valley Terrace timeout at 2010,0.8578978180885315
58,kayaking you just transpose Highway 99 South of stage Drive is closed their turnaround traffic northbound,0.8330628275871277
59,and let me get a sense of where this fire is coming we got it approach into the east or to the west but it's quite a ways off,0.8465687036514282
60,Praxis Medical,0.5660611391067505
61,importance of water upper this is not the first consider multiple rather travel and get out that your branch resist both,0.8781768083572388
62, outside of time,0.816780686378479
63,I got about four five,0.7474069595336914
64,division 2 advisement report of vegetation seen 200 yards from the end of East 20th Street 1989 poppy Pete Harris,0.8586437702178955
65, I have a person here with Northern Valley disabled services that needs to get Tomorrowland,0.8372642397880554
66,I'm getting one report of a fire alarm sounding it's Casa De Flores mobile home park 701 he's Lassen Avenue spaces 140 142,0.8428490161895752
67,so the water can is leaking water to the facts,0.8412535786628723
68,Notre Dame stop it we're going to go ahead and do a mandatory evacuation for the southern part and the berry,0.8025458455085754
69,I've got three free sources of the mice,0.7047308683395386
70,we have a,0.689933717250824
71,first question public works at street sweeper help us clean up this message goes across two lanes and about 50 feet deep,0.8371963500976562
72,entrance clear showing up there not but she doesn't 15 to in every game Martinez on Arcadia nominating us,0.8520777821540833
73,you're going to kill yourself,0.8242329359054565
74,I got the Bruce Wayne Bruce road going that way but I'm talking about Sky way towards 99 between Bruce and no hurry,0.8775990605354309
75,good the bear is going to be the options offered Shallow Springs first of corridor Whispering Wind and Shadow,0.8641247749328613
76,everybody the fire alarm sounding 701 he's Lassen Avenue at Casas the floor before whole park space will be 142 you can fire 0,0.8512864708900452
77,two,0.5746520161628723
78,number 46 a white pickup truck some are trying to get over to e 40th is the line area but it's all blocked off,0.8573467135429382
79,travel skywave device,0.6022706627845764
80,103 7 if we can divert more on to north of Bruce from your location and be up here right now,0.846666157245636
