,transcripts,confidence
0,the Walmart parking lot after cell phone 5 meters,0.7279226183891296
1,Custom Canvas to drive,0.5153346061706543
2,Tesla running and I 30 miles 3:06 17,0.7423838376998901
3,I'll be out with him it's quarter after,0.8208051919937134
4,level 3 site number is going to be 205 0 and then cite the it is 118 of 2019 8,0.8605388402938843
5,okay but hang out Marian from what when given the rest find it,0.8439108729362488
6,Seventh Wave right Street,0.6604962944984436
7,notify to call out there,0.6507804989814758
8,on the Walmart 465 Calais Road loss prevention contacted they have a juvenile with no idea in Cooperative in custody for,0.8257768750190735
9,water their doors open that they can recommend a sizable not realistic,0.7867298126220703
10,chameleon,0.7062327861785889
11,a 25-year be said there was a truck near it but there was no witness to a collision or anything so I don't know the way it's broken,0.8696643114089966
12,akane cause Charter School 1 plus I break down or three we're going motion called settings,0.8632801175117493
13,I spoke with a glass of Davis first of Mel he's one of about 10 horror seen exiting the garage is here and they have full hookups and stuff inside everybody in there he stages,0.8674911856651306
14,and we'll talk,0.6745069026947021
15,okay,0.6073612570762634
16,he has won 10 15 and 11 are out back to the property,0.8661492466926575
17,so forth,0.7848386168479919
18,Street Creek Street,0.538136899471283
19,I have a partial VIN number,0.847856342792511
20,Express ordering over eight fucking Honda or Acura with the clicker asshole,0.827860414981842
21,driver in a white car,0.568907618522644
22,earlier peanut contacts with other than Africa,0.8460806608200073
23,98,0.5953742861747742
24,can you run the loader off at the corner or down Lincoln from a Popeye's holding up,0.843991756439209
25,medical records to autonomous Africa,0.6489147543907166
26,that's an intersection to everything,0.764867901802063
27,fixing this document looks like the front gates for the residence has been forced open and long driver,0.8379734754562378
28,after 28 of seven and John I don't know 194 contractor 2012 Acura to a camera equipment,0.8545836210250854
29,they're both men's those 1 / 3 77 for 64 and one MTA the others could be freaking 851 they slice it in the middle and citable got the after,0.8829753398895264
30,450,0.5992404818534851
31,you 29 Emilio science please let's add a location he's walking down the street is out of control,0.8158281445503235
32,you got to be ready for 15 physical however no parties are willing to cooperate or wish to pursue charges and looks like nearly assigned is going to be transported OMC to look at his laceration,0.8751083612442017
33,negative any Ali,0.7043009996414185
34, computer,0.6770753860473633
35,around the back pretty good picking up the windows,0.8309249877929688
36,perfect,0.5593013167381287
37,1098 unable to determine it down aggressor neither party at injuries or worse for Superman complaint break,0.8420552015304565
38,a couple RP 3.86 47s subjects in the alleyway the river Montgomery never Taqueria,0.8108229637145996
39,Orville 30-27 for the call-boy nine seven three nine zero seven four obviously need everything's coach,0.8534510135650635
40,walked out the bay doors after talking about want to get hit by a train because we're number roads whether it's Arts fans they don't know if she had a people are not going to understand,0.8542230129241943
41,they sing copies of busy units it's not until 98 will refer to accuse me get out of the bamboo have a Tracker coming too,0.8321517109870911
42,going to be at the residence that has permission to be there to look at this trespassing,0.8737407922744751
43,document that the subjects inside the bamboo that we contact frequently after the painting clothes and other items for fire victims from Paradise and Walmart,0.8225982785224915
44,the area of Cal of Road and 7th Avenue dr. Benton from Walmart call the WFA in a camo sweatshirt and jeans last seen headed Northbound on 7 ran out with murder,0.8492013812065125
45,next we'll have a flatbed available till after one will be back to fill the truck will be out dealing with some illegal camping issues as well,0.8772169947624207
46,but if you take some specialized equipment been over drunk ass and boobs and the bamboo fall I will be back in the am available,0.8409996032714844
47,aspiring to contact us at weight loss vlogger and cold early,0.7340502142906189
48,perfect,0.7509870529174805
49,a couple days inside the house but nobody's coming to the store according to their records there may be three children inside walkers on the phone there are no adults on scene but she believes the mother may have possibly been arriving on scene still requesting law enforcement there maybe the payment,0.8621813058853149
50,and a clown and a blue hoodie with no shoes walking to the field across Table Mountain on its own was last seen running into the apartment complex on the West End there was no adult,0.869818389415741
51,area,0.7373641133308411
52,RV is a manager her employees called her the business has been closed for an hour they went in to clean the mill the men's bathroom and there's a male subject passed out and,0.8671360611915588
53,perfect,0.7012376189231873
54,everything that's the vehicle associated with email contact clear who fired am 1893,0.8368249535560608
55,what is very sensitive good Club 37 admirer piece of art enter the simulator imitated the 49ers PD and a 10-car dragon inside screaming at staff and customers credit car buyers in front of the business,0.8464852571487427
56,public interest,0.400844931602478
57,a permit owners got insurance through Allstate it's going to be a four-door silver colored Chevy Cruze since the front end damage they can move,0.8777034282684326
58,1 2 3 mu t l Phi notifies National Guard at the animal post south of your locations empathy by the behavioral health the costly,0.856690526008606
59, the area that all of Pharmacy building for a white baseball cap black hoodie and blue jeans Orville possibly are behaving and sixty six monthly under the influence,0.8937556147575378
60,folder,0.6645712852478027
61,spectre-6 that 1 2 5 0 Montgomery Street the neighbor sisters a broker with all the second for this residence is concern that someone made a trace neighbors who were there are out of town,0.8392994403839111
62,rather than 440 were evicted already Property Management learning evaluation from Paradise,0.8810802102088928
